buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,houseType,jibun,plottageAr,sggCd,slerGbn,totalFloorAr,umdNm,lawd_cd,deal_ym,sggNm
1977.0,,22.06.15,O,"43,000",4,3,2022,중개거래,경기 수원장안구,단독,4**,197.4,41111,,156.15,영화동,41111,202203,
1993.0,,22.08.23,O,"60,000",28,3,2022,중개거래,경기 수원장안구,단독,1**,167.0,41111,,239.78,율전동,41111,202203,
1997.0,,22.08.23,O,"79,000",28,3,2022,중개거래,경기 수원장안구,단독,1**,204.0,41111,,327.36,율전동,41111,202203,
1994.0,,,,"50,000",15,3,2022,직거래,,단독,1**,185.0,41111,,230.8,율전동,41111,202203,
1990.0,,,,"52,500",19,3,2022,중개거래,경기 수원시 장안구,다가구,1**,223.0,41111,,227.22,율전동,41111,202203,
1993.0,,,,"59,000",1,3,2022,중개거래,경기 수원장안구,다가구,2**,159.0,41111,,227.19,율전동,41111,202203,
2016.0,,,,"88,000",2,3,2022,중개거래,경기 수원팔달구,다가구,7**,157.7,41111,,253.7,조원동,41111,202203,
2002.0,,,,"101,000",2,3,2022,중개거래,경기 수원장안구,다가구,5**,203.8,41111,,312.01,천천동,41111,202203,
1988.0,,,,"57,000",15,3,2022,중개거래,경기 수원장안구,다가구,5**,121.7,41111,,202.64,파장동,41111,202203,
1988.0,,,,"45,000",15,3,2022,중개거래,경기 수원장안구,다가구,5**,147.8,41111,,219.6,파장동,41111,202203,
1994.0,,,,"174,500",31,3,2022,중개거래,경기 수원팔달구,단독,5**,333.0,41111,,795.02,파장동,41111,202203,
1994.0,,,,"68,000",31,3,2022,중개거래,경기 수원팔달구,다가구,5**,214.0,41111,,295.74,파장동,41111,202203,
1979.0,,,,"43,500",5,3,2022,중개거래,경기 수원권선구,단독,4**,164.0,41113,,88.89,고색동,41113,202203,
2006.0,,,,"63,500",18,3,2022,중개거래,경기 수원권선구,다가구,6**,173.6,41113,,401.05,곡반정동,41113,202203,
2008.0,,,,"210,000",16,3,2022,중개거래,경기 수원권선구 경기 안양만안구,다가구,5**,251.2,41113,,962.04,곡반정동,41113,202203,
2002.0,,,,"82,250",22,3,2022,중개거래,경기 수원권선구,단독,9**,240.6,41113,,502.5,구운동,41113,202203,
1991.0,,,,"138,700",18,3,2022,중개거래,경기 수원권선구,단독,5**,224.9,41113,,396.9,구운동,41113,202203,
1990.0,,,,"94,000",10,3,2022,중개거래,경기 수원권선구 경기 수원팔달구,다가구,9**,259.7,41113,,487.32,권선동,41113,202203,
1990.0,,,,"47,000",26,3,2022,중개거래,경기 수원권선구,단독,1***,145.5,41113,,247.68,세류동,41113,202203,
1980.0,,,,"50,000",12,3,2022,중개거래,경기 수원권선구,단독,2**,150.5,41113,,96.6,세류동,41113,202203,
1992.0,,,,"50,000",12,3,2022,중개거래,경기 수원권선구,단독,2**,150.5,41113,,164.72,세류동,41113,202203,
1993.0,,,,"48,400",10,3,2022,직거래,,다가구,9**,133.0,41113,,223.2,세류동,41113,202203,
1988.0,,,,"30,000",2,3,2022,중개거래,경기 수원권선구,다가구,1***,141.3,41113,,190.26,세류동,41113,202203,
1973.0,,,,"522,300",18,3,2022,중개거래,경기,단독,1**,1017.0,41113,,75.01,세류동,41113,202203,
,,22.03.21,O,"595,000",18,3,2022,중개거래,경기,단독,1**,1157.0,41113,,75.01,세류동,41113,202203,
1988.0,,,,"29,900",15,3,2022,중개거래,경기 수원권선구 경기 수원장안구,단독,3**,108.0,41113,,53.1,탑동,41113,202203,
1988.0,,,,"37,000",15,3,2022,중개거래,경기 수원권선구 경기 수원장안구,단독,3**,125.0,41113,,61.1,탑동,41113,202203,
1993.0,,,,"35,000",22,3,2022,직거래,,단독,1*,161.0,41113,,228.19,탑동,41113,202203,
1996.0,,,,"53,000",14,3,2022,중개거래,경기 수원장안구 경기 수원팔달구,다가구,4*,144.2,41115,,250.665,고등동,41115,202203,
1997.0,,,,"35,200",16,3,2022,중개거래,경기 수원팔달구,단독,2**,73.0,41115,,127.44,고등동,41115,202203,
1982.0,,,,"30,000",3,3,2022,중개거래,경기 수원팔달구,단독,8*,129.8,41115,,131.83,고등동,41115,202203,
1976.0,,,,"52,500",8,3,2022,중개거래,경기 수원권선구 경기 수원팔달구,단독,1*,158.0,41115,,79.44,고등동,41115,202203,
1976.0,,,,"49,400",8,3,2022,중개거래,경기 수원권선구 경기 수원팔달구,단독,1*,163.3,41115,,79.73,고등동,41115,202203,
1979.0,,,,"46,000",7,3,2022,중개거래,경기 수원팔달구,단독,1*,96.0,41115,,94.99,남수동,41115,202203,
1985.0,,,,"50,000",7,3,2022,직거래,,단독,9*,154.0,41115,,294.82,남창동,41115,202203,
1990.0,,,,"135,000",30,3,2022,중개거래,경기 수원팔달구,다가구,1**,149.0,41115,,648.22,매교동,41115,202203,
1965.0,,,,"26,500",19,3,2022,중개거래,경기 수원팔달구,단독,8*,99.0,41115,,35.87,매산로2가,41115,202203,
1999.0,,,,"593,150",18,3,2022,직거래,,단독,7*,676.0,41115,,159.5,매산로2가,41115,202203,
1999.0,,,,"507,790",18,3,2022,직거래,,단독,7*,579.0,41115,,260.44,매산로2가,41115,202203,
1986.0,,,,"35,000",19,3,2022,중개거래,경기 수원팔달구,다가구,5**,118.9,41115,,114.4,우만동,41115,202203,
1987.0,,,,"30,000",10,3,2022,중개거래,경기 수원팔달구,다가구,4**,145.2,41115,,111.51,우만동,41115,202203,
1997.0,,,,"36,100",3,3,2022,중개거래,경기 수원팔달구,단독,2**,104.0,41115,,125.46,인계동,41115,202203,
1988.0,,,,"51,500",17,3,2022,중개거래,경기 수원권선구 경기 수원팔달구,다가구,9**,138.9,41115,,140.21,인계동,41115,202203,
1991.0,,,,"49,000",17,3,2022,중개거래,경기 수원권선구 경기 수원팔달구,다가구,9**,133.3,41115,,199.08,인계동,41115,202203,
1988.0,,,,"80,000",23,3,2022,중개거래,경기 수원팔달구,단독,1***,169.8,41115,,179.49,인계동,41115,202203,
1997.0,,22.05.10,O,"36,338",3,3,2022,중개거래,경기 수원시 팔달구,단독,2**,104.0,41115,,125.46,인계동,41115,202203,
1988.0,,,,"405,000",2,3,2022,중개거래,경기 수원팔달구,단독,9**,652.6,41115,,1865.13,인계동,41115,202203,
1995.0,,,,"90,000",12,3,2022,중개거래,경기 수원권선구,다가구,9*,175.0,41115,,258.78,장안동,41115,202203,
1968.0,,,,"45,000",5,3,2022,중개거래,경기 수원팔달구,단독,1**,83.0,41115,,83.31,장안동,41115,202203,
1976.0,,,,"120,000",16,3,2022,중개거래,경기 수원팔달구,단독,3**,198.0,41115,,160.26,장안동,41115,202203,
